iter	Passed	Remaining
0	139	138869
1	139	69799
2	140	46566
3	140	35026
4	140	28047
5	141	23412
6	141	20116
7	141	17579
8	142	15660
9	142	14110
10	142	12851
11	143	11829
12	144	10934
13	144	10169
14	144	9502
15	145	8923
16	145	8411
17	145	7955
18	146	7547
19	146	7182
20	146	6849
21	147	6546
22	147	6270
23	147	6018
24	148	5786
25	147	5542
26	148	5344
27	148	5159
28	149	5014
29	150	4855
30	150	4708
31	151	4567
32	151	4434
33	151	4306
34	151	4189
35	152	4079
36	152	3976
37	153	3880
38	153	3785
39	154	3700
40	154	3613
41	154	3530
42	155	3451
43	155	3379
44	155	3309
45	156	3240
46	156	3174
47	156	3113
48	157	3053
49	157	2997
50	158	2945
51	158	2891
52	158	2840
53	159	2794
54	160	2749
55	160	2704
56	160	2662
57	161	2619
58	161	2577
59	162	2538
60	162	2500
61	162	2461
62	163	2426
63	163	2391
64	163	2356
65	164	2324
66	164	2290
67	164	2258
68	165	2229
69	165	2203
70	166	2174
71	166	2146
72	166	2119
73	167	2091
74	167	2065
75	167	2040
76	168	2017
77	168	1993
78	169	1970
79	169	1947
80	169	1926
81	170	1906
82	170	1886
83	171	1865
84	171	1846
85	171	1826
86	172	1807
87	172	1788
88	173	1771
89	173	1754
90	173	1737
91	174	1720
92	174	1703
93	175	1686
94	175	1671
95	175	1654
96	176	1639
97	176	1624
98	176	1609
99	177	1594
100	177	1580
101	177	1565
102	178	1552
103	178	1537
104	178	1523
105	178	1509
106	179	1496
107	179	1483
108	180	1471
109	180	1459
110	180	1447
111	181	1435
112	181	1423
113	181	1412
114	182	1400
115	182	1390
116	182	1378
117	183	1368
118	183	1357
119	183	1347
120	184	1337
121	184	1327
122	184	1317
123	185	1308
124	185	1300
125	186	1290
126	186	1281
127	186	1272
128	187	1263
129	187	1254
130	187	1246
131	188	1237
132	188	1228
133	188	1220
134	189	1211
135	189	1203
136	189	1196
137	190	1188
138	190	1180
139	190	1172
140	191	1164
141	191	1157
142	191	1149
143	192	1143
144	192	1135
145	192	1128
146	193	1121
147	193	1115
148	194	1108
149	194	1101
150	194	1095
151	195	1089
152	195	1082
153	195	1076
154	196	1070
155	196	1064
156	197	1058
157	197	1052
158	197	1046
159	198	1040
160	198	1034
161	198	1028
162	199	1022
163	199	1017
164	199	1011
165	200	1006
166	200	1000
167	201	995
168	201	990
169	201	985
170	202	979
171	202	975
172	202	969
173	203	964
174	203	960
175	204	955
176	204	950
177	204	946
178	205	941
179	205	937
180	205	932
181	206	927
182	206	922
183	207	918
184	207	913
185	207	909
186	208	905
187	208	900
188	208	896
189	209	892
190	209	888
191	210	884
192	210	880
193	210	876
194	211	872
195	211	868
196	212	864
197	212	860
198	212	856
199	213	853
200	213	849
201	214	845
202	214	842
203	214	838
204	215	834
205	215	831
206	216	827
207	216	824
208	216	820
209	217	817
210	217	813
211	217	810
212	218	806
213	218	803
214	219	799
215	219	796
216	219	793
217	220	789
218	220	786
219	220	783
220	221	780
221	221	777
222	222	774
223	222	771
224	222	768
225	223	765
226	224	763
227	224	760
228	225	758
229	225	755
230	226	752
231	226	749
232	226	746
233	227	743
234	227	741
235	228	738
236	228	735
237	228	732
238	229	730
239	229	727
240	230	724
241	230	721
242	230	719
243	231	716
244	231	713
245	231	710
246	232	708
247	232	705
248	233	703
249	233	700
250	233	698
251	234	695
252	234	692
253	235	690
254	235	688
255	236	686
256	236	683
257	236	681
258	237	678
259	237	676
260	238	674
261	238	671
262	239	670
263	239	668
264	240	665
265	240	663
266	240	661
267	241	659
268	241	657
269	242	654
270	242	652
271	243	650
272	243	648
273	243	646
274	244	644
275	244	642
276	245	639
277	245	637
278	245	635
279	246	633
280	246	631
281	247	629
282	247	627
283	247	624
284	248	622
285	248	620
286	249	618
287	249	616
288	249	615
289	250	613
290	250	611
291	251	609
292	251	607
293	252	605
294	252	603
295	252	601
296	253	599
297	253	597
298	254	595
299	254	593
300	254	591
301	255	590
302	255	588
303	256	586
304	256	584
305	257	582
306	257	581
307	257	579
308	258	577
309	258	575
310	259	574
311	259	572
312	259	570
313	260	568
314	260	566
315	261	564
316	261	563
317	261	561
318	262	559
319	262	557
320	263	556
321	263	554
322	263	552
323	264	551
324	264	549
325	264	547
326	265	546
327	265	544
328	266	542
329	266	541
330	267	539
331	267	538
332	267	536
333	268	534
334	268	533
335	268	531
336	269	530
337	269	528
338	270	526
339	270	525
340	270	523
341	271	522
342	271	520
343	272	519
344	272	517
345	272	515
346	273	514
347	273	512
348	274	511
349	274	509
350	274	508
351	275	506
352	275	505
353	275	503
354	276	502
355	276	500
356	277	499
357	277	498
358	278	497
359	278	495
360	279	494
361	279	492
362	279	491
363	280	489
364	280	488
365	281	486
366	281	485
367	281	483
368	282	482
369	282	481
370	283	479
371	283	478
372	283	477
373	284	475
374	284	474
375	285	472
376	285	471
377	285	470
378	286	468
379	286	467
380	286	465
381	287	464
382	287	463
383	287	461
384	288	460
385	288	459
386	289	458
387	289	456
388	289	455
389	290	453
390	290	452
391	290	451
392	291	449
393	291	448
394	291	447
395	292	445
396	292	444
397	293	443
398	293	442
399	293	440
400	294	439
401	294	438
402	295	437
403	295	435
404	295	434
405	296	433
406	296	432
407	297	431
408	297	430
409	298	429
410	298	427
411	298	426
412	299	425
413	299	424
414	299	422
415	300	421
416	300	420
417	301	419
418	301	418
419	301	416
420	302	415
421	302	414
422	302	413
423	303	412
424	303	410
425	303	409
426	304	408
427	304	407
428	305	406
429	305	405
430	306	403
431	306	402
432	306	401
433	307	400
434	307	399
435	308	398
436	308	397
437	308	396
438	309	395
439	309	394
440	310	393
441	310	392
442	310	390
443	311	389
444	312	389
445	312	388
446	312	386
447	313	385
448	313	384
449	313	383
450	314	382
451	314	381
452	315	380
453	315	379
454	315	378
455	316	377
456	316	376
457	317	375
458	317	374
459	318	373
460	318	372
461	318	371
462	319	370
463	319	369
464	320	368
465	320	367
466	320	366
467	321	365
468	321	364
469	321	363
470	322	361
471	322	360
472	323	360
473	323	359
474	324	358
475	324	357
476	324	356
477	325	355
478	325	354
479	326	353
480	326	352
481	326	351
482	327	350
483	327	349
484	328	348
485	328	347
486	328	346
487	329	345
488	329	344
489	329	343
490	330	342
491	330	341
492	331	340
493	331	339
494	331	338
495	332	337
496	332	336
497	332	335
498	333	334
499	333	333
500	333	332
501	334	331
502	334	330
503	335	329
504	335	328
505	335	327
